Pod Name,Node
compose-post-service-56c78b6549-dc58t,minikube-m03
compose-post-service-56c78b6549-fc6nt,minikube-m04
compose-post-service-56c78b6549-hqskt,minikube-m05
home-timeline-redis-5774f4dfdc-dvgmm,minikube-m02
home-timeline-service-65b4dd89b5-j8wkd,minikube-m02
home-timeline-service-65b4dd89b5-x6v6f,minikube-m05
home-timeline-service-65b4dd89b5-zvhkj,minikube-m04
jaeger-86b8b548d-xftbp,minikube
media-frontend-77cd978649-bxxlh,minikube
media-memcached-7dfb74bc7d-ttpcl,minikube-m02
media-mongodb-785b655677-fcf9t,minikube-m02
media-service-7ddd74bccb-mmw8f,minikube-m05
media-service-7ddd74bccb-q44sg,minikube-m03
media-service-7ddd74bccb-ss974,minikube-m02
nginx-thrift-6f9f4d488b-49g6r,minikube
post-storage-memcached-5c48bc889d-qn7zw,minikube-m03
post-storage-mongodb-7bf4f76c65-7hrzz,minikube-m04
post-storage-service-6b6b494569-5hgqv,minikube-m03
post-storage-service-6b6b494569-bqhcx,minikube-m04
post-storage-service-6b6b494569-pq975,minikube-m05
social-graph-mongodb-bc8595d6f-656bn,minikube-m03
social-graph-redis-7887fc84fb-p8d4h,minikube-m03
social-graph-service-5c666fc6c5-8w868,minikube-m03
social-graph-service-5c666fc6c5-cw9zd,minikube-m04
social-graph-service-5c666fc6c5-g964d,minikube-m05
text-service-74b97bd879-58wb5,minikube-m02
text-service-74b97bd879-gm826,minikube-m04
text-service-74b97bd879-zjk7k,minikube-m03
unique-id-service-7c78b5cc7b-845gf,minikube-m03
unique-id-service-7c78b5cc7b-9zpvr,minikube-m04
unique-id-service-7c78b5cc7b-m5fk2,minikube-m05
url-shorten-memcached-dcf8457d-fl8ql,minikube-m05
url-shorten-mongodb-5cf6bd4d78-ccvgr,minikube-m02
url-shorten-service-7cdf5f9c88-2ktbq,minikube-m05
url-shorten-service-7cdf5f9c88-jjs8t,minikube-m04
url-shorten-service-7cdf5f9c88-phnrd,minikube-m02
user-memcached-7f646b6586-gz2vs,minikube-m02
user-mention-service-67b9c5f949-4v6r4,minikube-m03
user-mention-service-67b9c5f949-5xtrv,minikube-m02
user-mention-service-67b9c5f949-77zg5,minikube-m05
user-mongodb-7f696dfb48-bsztm,minikube-m03
user-service-655ff546f9-jhg2b,minikube-m05
user-service-655ff546f9-kzhwm,minikube-m04
user-service-655ff546f9-rrptc,minikube-m03
user-timeline-mongodb-6cd9d5b79d-qz7df,minikube-m03
user-timeline-redis-6b775dbddc-bhqmx,minikube-m04
user-timeline-service-669d5b84f7-jzqc8,minikube-m02
user-timeline-service-669d5b84f7-mxxhw,minikube-m03
user-timeline-service-669d5b84f7-nhkm6,minikube-m04
