Pod Name,Node
compose-post-service-56c78b6549-q8f26,minikube-m04
compose-post-service-56c78b6549-sspbb,minikube-m02
compose-post-service-56c78b6549-xwxc9,minikube-m05
home-timeline-redis-5774f4dfdc-h9w6k,minikube-m03
home-timeline-service-65b4dd89b5-bm8bq,minikube-m04
home-timeline-service-65b4dd89b5-gmvsc,minikube-m02
home-timeline-service-65b4dd89b5-sd6rs,minikube-m03
jaeger-86b8b548d-xw7k6,minikube
media-frontend-77cd978649-5q7sd,minikube
media-memcached-7dfb74bc7d-wq4c6,minikube-m04
media-mongodb-785b655677-qvzrz,minikube-m02
media-service-7ddd74bccb-4sfvk,minikube-m05
media-service-7ddd74bccb-98nhd,minikube-m03
media-service-7ddd74bccb-drhsj,minikube-m02
nginx-thrift-6f9f4d488b-qngk2,minikube
post-storage-memcached-5c48bc889d-tg9db,minikube-m03
post-storage-mongodb-7bf4f76c65-4xmd7,minikube-m03
post-storage-service-6b6b494569-fs9pk,minikube-m02
post-storage-service-6b6b494569-fvmsh,minikube-m04
post-storage-service-6b6b494569-k4ds4,minikube-m05
social-graph-mongodb-bc8595d6f-vp6gv,minikube-m02
social-graph-redis-7887fc84fb-dnn9m,minikube-m03
social-graph-service-5c666fc6c5-2bpgm,minikube-m04
social-graph-service-5c666fc6c5-dndlx,minikube-m03
social-graph-service-5c666fc6c5-kpzw7,minikube-m02
text-service-74b97bd879-4pzxk,minikube-m04
text-service-74b97bd879-8c7gh,minikube-m05
text-service-74b97bd879-pjljw,minikube-m03
unique-id-service-7c78b5cc7b-4krc2,minikube-m04
unique-id-service-7c78b5cc7b-9jx8j,minikube-m02
unique-id-service-7c78b5cc7b-ltfh7,minikube-m03
url-shorten-memcached-dcf8457d-fvk2c,minikube-m05
url-shorten-mongodb-5cf6bd4d78-f2dcs,minikube-m04
url-shorten-service-7cdf5f9c88-5llqq,minikube-m05
url-shorten-service-7cdf5f9c88-kt2z5,minikube-m04
url-shorten-service-7cdf5f9c88-vmg7b,minikube-m03
user-memcached-7f646b6586-j6dvb,minikube-m05
user-mention-service-67b9c5f949-6pncx,minikube-m03
user-mention-service-67b9c5f949-9v8fz,minikube-m05
user-mention-service-67b9c5f949-fl9q2,minikube-m02
user-mongodb-7f696dfb48-hbnjf,minikube-m03
user-service-655ff546f9-2sqgp,minikube-m02
user-service-655ff546f9-jtct4,minikube-m05
user-service-655ff546f9-szl78,minikube-m04
user-timeline-mongodb-6cd9d5b79d-qtdcl,minikube-m02
user-timeline-redis-6b775dbddc-qdgdr,minikube-m04
user-timeline-service-74c97785c4-g7wzt,minikube-m05
user-timeline-service-74c97785c4-hkk87,minikube-m04
user-timeline-service-74c97785c4-ql7vr,minikube-m03
