Pod Name,Node
compose-post-service-67b44dc876-fwrkr,minikube-m03
compose-post-service-67b44dc876-t6cfc,minikube-m05
compose-post-service-67b44dc876-tjkzs,minikube-m02
home-timeline-redis-5774f4dfdc-fw92l,minikube-m05
home-timeline-service-65b4dd89b5-q8dn2,minikube-m05
home-timeline-service-65b4dd89b5-t6prg,minikube-m02
home-timeline-service-65b4dd89b5-zq56n,minikube-m03
jaeger-86b8b548d-hbpvw,minikube
media-frontend-77cd978649-bfsvc,minikube
media-memcached-7dfb74bc7d-lqvt8,minikube-m04
media-mongodb-785b655677-bv6cc,minikube-m02
media-service-7ddd74bccb-cfxs5,minikube-m02
media-service-7ddd74bccb-ln9hv,minikube-m03
media-service-7ddd74bccb-rlzs6,minikube-m04
nginx-thrift-6f9f4d488b-jhq6q,minikube
post-storage-memcached-5c48bc889d-s55rk,minikube-m05
post-storage-mongodb-7bf4f76c65-fwcfc,minikube-m03
post-storage-service-6b6b494569-7k2h4,minikube-m05
post-storage-service-6b6b494569-gsj9m,minikube-m02
post-storage-service-6b6b494569-w4ld7,minikube-m04
social-graph-mongodb-bc8595d6f-sps75,minikube-m02
social-graph-redis-7887fc84fb-f4z7z,minikube-m05
social-graph-service-5c666fc6c5-fnd7b,minikube-m02
social-graph-service-5c666fc6c5-pkkx7,minikube-m05
social-graph-service-5c666fc6c5-r77nv,minikube-m04
text-service-74b97bd879-j2kmr,minikube-m02
text-service-74b97bd879-qc4js,minikube-m05
text-service-74b97bd879-qnc7w,minikube-m03
unique-id-service-7c78b5cc7b-6q69m,minikube-m03
unique-id-service-7c78b5cc7b-795vf,minikube-m04
unique-id-service-7c78b5cc7b-8dl8g,minikube-m02
url-shorten-memcached-dcf8457d-xbcfb,minikube-m04
url-shorten-mongodb-5cf6bd4d78-62rlk,minikube-m02
url-shorten-service-7cdf5f9c88-hb4tj,minikube-m03
url-shorten-service-7cdf5f9c88-r878f,minikube-m02
url-shorten-service-7cdf5f9c88-sgm7m,minikube-m04
user-memcached-7f646b6586-wj8m2,minikube-m05
user-mention-service-67b9c5f949-8c2v7,minikube-m03
user-mention-service-67b9c5f949-kjftj,minikube-m04
user-mention-service-67b9c5f949-td7js,minikube-m02
user-mongodb-7f696dfb48-fvvnj,minikube-m05
user-service-655ff546f9-69xnb,minikube-m05
user-service-655ff546f9-v67xd,minikube-m04
user-service-655ff546f9-vm9s6,minikube-m03
user-timeline-mongodb-6cd9d5b79d-z6ks8,minikube-m04
user-timeline-redis-6b775dbddc-kpdjz,minikube-m02
user-timeline-service-5b876bb6df-4h8lx,minikube-m04
user-timeline-service-5b876bb6df-65kkn,minikube-m03
user-timeline-service-5b876bb6df-9b7g2,minikube-m05
