Pod Name,Node
compose-post-service-67b44dc876-7ccdd,minikube-m02
compose-post-service-67b44dc876-9z9xw,minikube-m05
compose-post-service-67b44dc876-qxrfr,minikube-m03
home-timeline-redis-5774f4dfdc-nx786,minikube-m05
home-timeline-service-65b4dd89b5-fwjgk,minikube-m02
home-timeline-service-65b4dd89b5-gg888,minikube-m03
home-timeline-service-65b4dd89b5-qhx42,minikube-m05
jaeger-86b8b548d-bcmw5,minikube
media-frontend-77cd978649-tk9fx,minikube
media-memcached-7dfb74bc7d-q45sw,minikube-m03
media-mongodb-785b655677-hdkl9,minikube-m04
media-service-7ddd74bccb-9lkfb,minikube-m04
media-service-7ddd74bccb-hfr9d,minikube-m02
media-service-7ddd74bccb-tghdc,minikube-m03
nginx-thrift-6f9f4d488b-6gc8t,minikube
post-storage-memcached-5c48bc889d-q6l8l,minikube-m03
post-storage-mongodb-7bf4f76c65-mwwt8,minikube-m04
post-storage-service-6b6b494569-2p6hv,minikube-m05
post-storage-service-6b6b494569-rxmsr,minikube-m03
post-storage-service-6b6b494569-zvfdh,minikube-m02
social-graph-mongodb-bc8595d6f-vtbsc,minikube-m03
social-graph-redis-7887fc84fb-lcgm2,minikube-m04
social-graph-service-5c666fc6c5-4khdb,minikube-m05
social-graph-service-5c666fc6c5-drx2r,minikube-m04
social-graph-service-5c666fc6c5-rhz48,minikube-m02
text-service-74b97bd879-wqpw5,minikube-m03
text-service-74b97bd879-xd4x2,minikube-m02
text-service-74b97bd879-zl9c2,minikube-m04
unique-id-service-7c78b5cc7b-27pcd,minikube-m03
unique-id-service-7c78b5cc7b-kxbb5,minikube-m04
unique-id-service-7c78b5cc7b-nhnqq,minikube-m05
url-shorten-memcached-dcf8457d-jnvjf,minikube-m03
url-shorten-mongodb-5cf6bd4d78-v9wp5,minikube-m04
url-shorten-service-7cdf5f9c88-5njwk,minikube-m02
url-shorten-service-7cdf5f9c88-8tq64,minikube-m04
url-shorten-service-7cdf5f9c88-c5htw,minikube-m05
user-memcached-7f646b6586-7pqcj,minikube-m02
user-mention-service-67b9c5f949-5hvgg,minikube-m03
user-mention-service-67b9c5f949-mfjwr,minikube-m02
user-mention-service-67b9c5f949-qz4w2,minikube-m05
user-mongodb-7f696dfb48-b956m,minikube-m04
user-service-655ff546f9-5kjzk,minikube-m04
user-service-655ff546f9-9w8nt,minikube-m02
user-service-655ff546f9-b7rqr,minikube-m05
user-timeline-mongodb-6cd9d5b79d-hh9fz,minikube-m02
user-timeline-redis-6b775dbddc-gl48c,minikube-m05
user-timeline-service-5b876bb6df-clbl2,minikube-m05
user-timeline-service-5b876bb6df-qqfw4,minikube-m03
user-timeline-service-5b876bb6df-t7bb7,minikube-m02
