Pod Name,Node
compose-post-service-56c78b6549-cl2m4,minikube-m02
compose-post-service-56c78b6549-dwf88,minikube-m03
compose-post-service-56c78b6549-zctwz,minikube-m05
home-timeline-redis-5774f4dfdc-kzj8n,minikube-m02
home-timeline-service-65b4dd89b5-66rwn,minikube-m03
home-timeline-service-65b4dd89b5-7rvwg,minikube-m05
home-timeline-service-65b4dd89b5-pr2tl,minikube-m02
jaeger-86b8b548d-rpnss,minikube
media-frontend-77cd978649-8zs2v,minikube
media-memcached-7dfb74bc7d-8gbtt,minikube-m03
media-mongodb-785b655677-zvdj9,minikube-m03
media-service-7ddd74bccb-bj64v,minikube-m04
media-service-7ddd74bccb-cttg8,minikube-m02
media-service-7ddd74bccb-dz2cl,minikube-m05
nginx-thrift-6f9f4d488b-9rb7d,minikube
post-storage-memcached-5c48bc889d-cdw5j,minikube-m02
post-storage-mongodb-7bf4f76c65-spsfg,minikube-m03
post-storage-service-6b6b494569-4clb5,minikube-m05
post-storage-service-6b6b494569-dgnxp,minikube-m04
post-storage-service-6b6b494569-r99hr,minikube-m02
social-graph-mongodb-bc8595d6f-kn29c,minikube-m03
social-graph-redis-7887fc84fb-pc8px,minikube-m02
social-graph-service-5c666fc6c5-4rrj2,minikube-m03
social-graph-service-5c666fc6c5-c9thr,minikube-m02
social-graph-service-5c666fc6c5-s5nc6,minikube-m04
text-service-74b97bd879-9flxn,minikube-m05
text-service-74b97bd879-b4bgw,minikube-m04
text-service-74b97bd879-x9qx6,minikube-m03
unique-id-service-7c78b5cc7b-26lpv,minikube-m02
unique-id-service-7c78b5cc7b-6ch8t,minikube-m03
unique-id-service-7c78b5cc7b-c8fsf,minikube-m04
url-shorten-memcached-dcf8457d-728rk,minikube-m03
url-shorten-mongodb-5cf6bd4d78-ddxbq,minikube-m05
url-shorten-service-7cdf5f9c88-8ktrj,minikube-m02
url-shorten-service-7cdf5f9c88-97f6z,minikube-m05
url-shorten-service-7cdf5f9c88-gjswv,minikube-m03
user-memcached-7f646b6586-z4qpk,minikube-m04
user-mention-service-67b9c5f949-ch26q,minikube-m04
user-mention-service-67b9c5f949-d4td7,minikube-m02
user-mention-service-67b9c5f949-v69wj,minikube-m05
user-mongodb-7f696dfb48-llww2,minikube-m02
user-service-655ff546f9-h2gn2,minikube-m05
user-service-655ff546f9-k2czz,minikube
user-service-655ff546f9-mdrdz,minikube-m02
user-timeline-mongodb-6cd9d5b79d-6w6q5,minikube-m04
user-timeline-redis-6b775dbddc-jd4wb,minikube-m05
user-timeline-service-669d5b84f7-l8vgr,minikube-m02
user-timeline-service-669d5b84f7-rwmpn,minikube-m03
user-timeline-service-669d5b84f7-sn8p2,minikube-m05
